record_id,site_code,site_name,year,quarter,chemical_name,chemical_category,cas_number,usage_amount_kg,unit,storage_amount_kg,usage_purpose,hazard_class,msds_yn,regulatory_yn,regulatory_basis,cost_krw,source_system,synced_at,created_at,updated_at,updated_by
EHS-CH-2024-0001,SITE-DC01,수원 데이터센터,2024,1,스케일억제제(HEDP),수처리제,2809-21-4,100.9,kg,30.3,냉각탑 스케일 방지,3,Y,N,,121080,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0002,SITE-DC01,수원 데이터센터,2024,1,부식억제제(MBT),수처리제,583-39-1,49.9,kg,15.0,냉각배관 부식 방지,3,Y,N,,59880,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0003,SITE-DC01,수원 데이터센터,2024,1,차아염소산나트륨,살균소독제,7681-52-9,142.5,L,42.8,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,114000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0004,SITE-DC01,수원 데이터센터,2024,1,이산화탄소(CO2),소화약제,124-38-9,296.9,kg,89.1,가스계 소화설비,2,Y,N,,356280,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0005,SITE-DC01,수원 데이터센터,2024,1,HFC-125소화약제,소화약제,354-33-6,213.8,kg,64.1,청정소화(FM-200),2,Y,Y,오존층보호법,256560,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0006,SITE-DC01,수원 데이터센터,2024,1,황산(배터리용),전해질,7664-93-9,41.6,kg,12.5,UPS 납축전지,8,Y,Y,화학물질관리법,49920,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0007,SITE-DC01,수원 데이터센터,2024,1,수산화나트륨,pH조정제,1310-73-2,33.2,kg,10.0,순수제조 pH 조정,8,Y,Y,산업안전보건법,39840,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0008,SITE-DC01,수원 데이터센터,2024,1,염산,pH조정제,7647-01-0,26.1,kg,7.8,역삼투 세정,8,Y,Y,화학물질관리법,31320,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0009,SITE-DC01,수원 데이터센터,2024,1,활성탄,여과재,7440-44-0,451.2,kg,135.4,순수 전처리 여과,0,Y,N,,541440,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0010,SITE-DC01,수원 데이터센터,2024,1,이온교환수지,정수소재,9002-23-7,112.8,kg,33.8,탈이온수 제조,0,Y,N,,135360,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-CH-2024-0011,SITE-DC01,수원 데이터센터,2024,2,스케일억제제(HEDP),수처리제,2809-21-4,106.2,kg,31.9,냉각탑 스케일 방지,3,Y,N,,127440,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0012,SITE-DC01,수원 데이터센터,2024,2,부식억제제(MBT),수처리제,583-39-1,52.5,kg,15.8,냉각배관 부식 방지,3,Y,N,,63000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0013,SITE-DC01,수원 데이터센터,2024,2,차아염소산나트륨,살균소독제,7681-52-9,150.0,L,45.0,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,120000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0014,SITE-DC01,수원 데이터센터,2024,2,이산화탄소(CO2),소화약제,124-38-9,312.5,kg,93.8,가스계 소화설비,2,Y,N,,375000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0015,SITE-DC01,수원 데이터센터,2024,2,HFC-125소화약제,소화약제,354-33-6,225.0,kg,67.5,청정소화(FM-200),2,Y,Y,오존층보호법,270000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0016,SITE-DC01,수원 데이터센터,2024,2,황산(배터리용),전해질,7664-93-9,43.8,kg,13.1,UPS 납축전지,8,Y,Y,화학물질관리법,52560,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0017,SITE-DC01,수원 데이터센터,2024,2,수산화나트륨,pH조정제,1310-73-2,35.0,kg,10.5,순수제조 pH 조정,8,Y,Y,산업안전보건법,42000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0018,SITE-DC01,수원 데이터센터,2024,2,염산,pH조정제,7647-01-0,27.5,kg,8.2,역삼투 세정,8,Y,Y,화학물질관리법,33000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0019,SITE-DC01,수원 데이터센터,2024,2,활성탄,여과재,7440-44-0,475.0,kg,142.5,순수 전처리 여과,0,Y,N,,570000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0020,SITE-DC01,수원 데이터센터,2024,2,이온교환수지,정수소재,9002-23-7,118.8,kg,35.6,탈이온수 제조,0,Y,N,,142560,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-CH-2024-0021,SITE-DC01,수원 데이터센터,2024,3,스케일억제제(HEDP),수처리제,2809-21-4,111.6,kg,33.5,냉각탑 스케일 방지,3,Y,N,,133920,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0022,SITE-DC01,수원 데이터센터,2024,3,부식억제제(MBT),수처리제,583-39-1,55.1,kg,16.5,냉각배관 부식 방지,3,Y,N,,66120,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0023,SITE-DC01,수원 데이터센터,2024,3,차아염소산나트륨,살균소독제,7681-52-9,157.5,L,47.2,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,126000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0024,SITE-DC01,수원 데이터센터,2024,3,이산화탄소(CO2),소화약제,124-38-9,328.1,kg,98.4,가스계 소화설비,2,Y,N,,393720,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0025,SITE-DC01,수원 데이터센터,2024,3,HFC-125소화약제,소화약제,354-33-6,236.2,kg,70.9,청정소화(FM-200),2,Y,Y,오존층보호법,283440,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0026,SITE-DC01,수원 데이터센터,2024,3,황산(배터리용),전해질,7664-93-9,45.9,kg,13.8,UPS 납축전지,8,Y,Y,화학물질관리법,55080,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0027,SITE-DC01,수원 데이터센터,2024,3,수산화나트륨,pH조정제,1310-73-2,36.8,kg,11.0,순수제조 pH 조정,8,Y,Y,산업안전보건법,44160,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0028,SITE-DC01,수원 데이터센터,2024,3,염산,pH조정제,7647-01-0,28.9,kg,8.7,역삼투 세정,8,Y,Y,화학물질관리법,34680,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0029,SITE-DC01,수원 데이터센터,2024,3,활성탄,여과재,7440-44-0,498.8,kg,149.6,순수 전처리 여과,0,Y,N,,598560,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0030,SITE-DC01,수원 데이터센터,2024,3,이온교환수지,정수소재,9002-23-7,124.7,kg,37.4,탈이온수 제조,0,Y,N,,149640,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-CH-2024-0031,SITE-DC01,수원 데이터센터,2024,4,스케일억제제(HEDP),수처리제,2809-21-4,116.9,kg,35.1,냉각탑 스케일 방지,3,Y,N,,140280,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0032,SITE-DC01,수원 데이터센터,2024,4,부식억제제(MBT),수처리제,583-39-1,57.8,kg,17.3,냉각배관 부식 방지,3,Y,N,,69360,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0033,SITE-DC01,수원 데이터센터,2024,4,차아염소산나트륨,살균소독제,7681-52-9,165.0,L,49.5,냉각수 레지오넬라 방지,8,Y,Y,산업안전보건법,132000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-CH-2024-0034,SITE-DC01,수원 데이터센터,2024,4,이산화탄소(CO2),소화약제,124-38-9,343.8,kg,103.1,가스계 소화설비,2,Y,N,,412560,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
