record_id,site_code,site_name,year,quarter,worker_type,total_workers,working_hours,fatality_count,serious_injury_count,recordable_injury_count,lost_day_count,near_miss_count,trir,ltir,severity_rate,occupational_illness_count,work_related_illness_count,safety_investment_krw,source_system,synced_at,created_at,updated_at,updated_by
EHS-SF-2024-0001,SITE-DC01,수원 데이터센터,2024,1,직접고용,350,182000,0,0,0,0,3,0.0,0.0,0.0,0,0,8750000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0002,SITE-DC01,수원 데이터센터,2024,1,협력업체,180,93600,0,0,0,0,3,0.0,0.0,0.0,0,0,4500000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0003,SITE-DC02,동탄 데이터센터,2024,1,직접고용,280,145600,0,0,0,0,3,0.0,0.0,0.0,0,0,7000000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0004,SITE-DC02,동탄 데이터센터,2024,1,협력업체,150,78000,0,0,0,0,3,0.0,0.0,0.0,0,0,3750000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0005,SITE-DC03,상암 데이터센터,2024,1,직접고용,200,104000,0,0,0,0,1,0.0,0.0,0.0,0,0,5000000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0006,SITE-DC04,춘천 데이터센터,2024,1,직접고용,240,124800,0,0,0,0,3,0.0,0.0,0.0,0,0,6000000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0007,SITE-DC05,구미 데이터센터,2024,1,직접고용,180,93600,0,0,0,0,3,0.0,0.0,0.0,0,0,4500000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0008,SITE-OF01,잠실 본사,2024,1,직접고용,8500,4420000,0,0,0,0,1,0.0,0.0,0.0,0,0,212500000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0009,SITE-OF02,수원 오피스,2024,1,직접고용,5200,2704000,0,0,0,0,1,0.0,0.0,0.0,0,0,130000000,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 16:00:00,user_ehs
EHS-SF-2024-0010,SITE-DC01,수원 데이터센터,2024,2,직접고용,350,182000,0,1,1,8,3,1.0989,8.7912,8.79,0,0,8750000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0011,SITE-DC01,수원 데이터센터,2024,2,협력업체,180,93600,0,1,1,8,3,2.1368,17.094,17.09,0,0,4500000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0012,SITE-DC02,동탄 데이터센터,2024,2,직접고용,280,145600,0,1,1,8,3,1.3736,10.989,10.99,0,0,7000000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0013,SITE-DC02,동탄 데이터센터,2024,2,협력업체,150,78000,0,1,1,8,3,2.5641,20.5128,20.51,0,0,3750000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0014,SITE-DC03,상암 데이터센터,2024,2,직접고용,200,104000,0,0,0,0,1,0.0,0.0,0.0,0,0,5000000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0015,SITE-DC04,춘천 데이터센터,2024,2,직접고용,240,124800,0,1,1,8,3,1.6026,12.8205,12.82,0,0,6000000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0016,SITE-DC05,구미 데이터센터,2024,2,직접고용,180,93600,0,1,1,8,3,2.1368,17.094,17.09,0,0,4500000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0017,SITE-OF01,잠실 본사,2024,2,직접고용,8500,4420000,0,0,0,0,1,0.0,0.0,0.0,0,0,212500000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0018,SITE-OF02,수원 오피스,2024,2,직접고용,5200,2704000,0,0,0,0,1,0.0,0.0,0.0,0,0,130000000,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 16:00:00,user_ehs
EHS-SF-2024-0019,SITE-DC01,수원 데이터센터,2024,3,직접고용,350,182000,0,0,0,0,3,0.0,0.0,0.0,0,0,8750000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0020,SITE-DC01,수원 데이터센터,2024,3,협력업체,180,93600,0,0,0,0,3,0.0,0.0,0.0,0,0,4500000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0021,SITE-DC02,동탄 데이터센터,2024,3,직접고용,280,145600,0,0,0,0,3,0.0,0.0,0.0,0,0,7000000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0022,SITE-DC02,동탄 데이터센터,2024,3,협력업체,150,78000,0,0,0,0,3,0.0,0.0,0.0,0,0,3750000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0023,SITE-DC03,상암 데이터센터,2024,3,직접고용,200,104000,0,0,0,0,1,0.0,0.0,0.0,0,0,5000000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0024,SITE-DC04,춘천 데이터센터,2024,3,직접고용,240,124800,0,0,0,0,3,0.0,0.0,0.0,0,0,6000000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0025,SITE-DC05,구미 데이터센터,2024,3,직접고용,180,93600,0,0,0,0,3,0.0,0.0,0.0,0,0,4500000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0026,SITE-OF01,잠실 본사,2024,3,직접고용,8500,4420000,0,0,0,0,1,0.0,0.0,0.0,0,0,212500000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0027,SITE-OF02,수원 오피스,2024,3,직접고용,5200,2704000,0,0,0,0,1,0.0,0.0,0.0,0,0,130000000,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 16:00:00,user_ehs
EHS-SF-2024-0028,SITE-DC01,수원 데이터센터,2024,4,직접고용,350,182000,0,0,0,0,3,0.0,0.0,0.0,0,0,8750000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0029,SITE-DC01,수원 데이터센터,2024,4,협력업체,180,93600,0,0,0,0,3,0.0,0.0,0.0,0,0,4500000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0030,SITE-DC02,동탄 데이터센터,2024,4,직접고용,280,145600,0,0,0,0,3,0.0,0.0,0.0,0,0,7000000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0031,SITE-DC02,동탄 데이터센터,2024,4,협력업체,150,78000,0,0,0,0,3,0.0,0.0,0.0,0,0,3750000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0032,SITE-DC03,상암 데이터센터,2024,4,직접고용,200,104000,0,0,0,0,1,0.0,0.0,0.0,0,0,5000000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0033,SITE-DC04,춘천 데이터센터,2024,4,직접고용,240,124800,0,0,0,0,3,0.0,0.0,0.0,0,0,6000000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0034,SITE-DC05,구미 데이터센터,2024,4,직접고용,180,93600,0,0,0,0,3,0.0,0.0,0.0,0,0,4500000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0035,SITE-OF01,잠실 본사,2024,4,직접고용,8500,4420000,0,0,0,0,1,0.0,0.0,0.0,0,0,212500000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
EHS-SF-2024-0036,SITE-OF02,수원 오피스,2024,4,직접고용,5200,2704000,0,0,0,0,1,0.0,0.0,0.0,0,0,130000000,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 16:00:00,user_ehs
