record_id,site_code,site_name,year,quarter,discharge_point,wastewater_type,discharge_volume_m3,bod_mg_l,cod_mg_l,ss_mg_l,tn_mg_l,tp_mg_l,tds_mg_l,ph,temperature_c,chlorine_mg_l,regulatory_limit_bod,compliance_status,treatment_method,discharge_destination,source_system,synced_at,created_at,updated_at,updated_by
EHS-WW-2024-001,SITE-DC01,수원 데이터센터,2024,1,방류구-01-01,냉각탑 블로우다운,3040,5.2,8.5,3.1,4.2,0.3,850,7.2,22.5,1.2,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-002,SITE-DC01,수원 데이터센터,2024,2,방류구-01-01,냉각탑 블로우다운,3200,5.2,8.5,3.1,4.2,0.3,850,7.2,22.5,1.2,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-003,SITE-DC01,수원 데이터센터,2024,3,방류구-01-01,냉각탑 블로우다운,3360,5.2,8.5,3.1,4.2,0.3,850,7.2,22.5,1.2,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-004,SITE-DC01,수원 데이터센터,2024,4,방류구-01-01,냉각탑 블로우다운,3520,5.2,8.5,3.1,4.2,0.3,850,7.2,22.5,1.2,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-005,SITE-DC02,동탄 데이터센터,2024,1,방류구-02-01,냉각탑 블로우다운,2660,4.8,7.9,2.8,3.8,0.2,780,7.2,22.5,1.0,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-006,SITE-DC02,동탄 데이터센터,2024,2,방류구-02-01,냉각탑 블로우다운,2800,4.8,7.9,2.8,3.8,0.2,780,7.2,22.5,1.0,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-007,SITE-DC02,동탄 데이터센터,2024,3,방류구-02-01,냉각탑 블로우다운,2940,4.8,7.9,2.8,3.8,0.2,780,7.2,22.5,1.0,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-008,SITE-DC02,동탄 데이터센터,2024,4,방류구-02-01,냉각탑 블로우다운,3080,4.8,7.9,2.8,3.8,0.2,780,7.2,22.5,1.0,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-009,SITE-DC03,상암 데이터센터,2024,1,방류구-03-01,냉각탑 블로우다운,1805,5.5,9.1,3.3,4.5,0.3,910,7.2,22.5,1.3,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
EHS-WW-2024-010,SITE-DC03,상암 데이터센터,2024,2,방류구-03-01,냉각탑 블로우다운,1900,5.5,9.1,3.3,4.5,0.3,910,7.2,22.5,1.3,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 11:00:00,user_002
EHS-WW-2024-011,SITE-DC03,상암 데이터센터,2024,3,방류구-03-01,냉각탑 블로우다운,1995,5.5,9.1,3.3,4.5,0.3,910,7.2,22.5,1.3,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 11:00:00,user_002
EHS-WW-2024-012,SITE-DC03,상암 데이터센터,2024,4,방류구-03-01,냉각탑 블로우다운,2090,5.5,9.1,3.3,4.5,0.3,910,7.2,22.5,1.3,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 11:00:00,user_002
EHS-WW-2024-013,SITE-DC04,춘천 데이터센터,2024,1,방류구-04-01,냉각탑 블로우다운,2280,5.0,8.2,2.9,4.0,0.2,820,7.2,22.5,1.1,30.0,준수,물리화학적 처리,공공하수처리시설,EHS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 11:00:00,user_002
