record_id,site_code,site_name,year,month,total_energy_kwh,it_load_kwh,cooling_energy_kwh,other_energy_kwh,pue_monthly,dcu_average,wue_l_kwh,server_count,rack_count,avg_rack_density_kw,uptime_pct,co2_intensity_gco2_kwh,source_system,synced_at,created_at,updated_at,updated_by
DC-PUE-2024-0001,SITE-DC01,수원 데이터센터,2024,1,28170139,23974586,4195553,0,1.175,1.1515,1.2,8500,520,38.5,99.97,459.6,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
DC-PUE-2024-0002,SITE-DC01,수원 데이터센터,2024,2,27365278,23289598,4075680,0,1.175,1.1515,1.2,8500,520,38.5,99.97,459.6,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
DC-PUE-2024-0003,SITE-DC01,수원 데이터센터,2024,3,25755556,21734646,4020910,0,1.185,1.1613,1.2,8500,520,38.5,99.97,459.6,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
DC-PUE-2024-0004,SITE-DC01,수원 데이터센터,2024,4,24682407,20829035,3853372,0,1.185,1.1613,1.2,8500,520,38.5,99.97,459.6,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
DC-PUE-2024-0005,SITE-DC01,수원 데이터센터,2024,5,25487269,21508244,3979025,0,1.185,1.1613,1.2,8500,520,38.5,99.97,459.6,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
DC-PUE-2024-0006,SITE-DC01,수원 데이터센터,2024,6,28975000,24085619,4889381,0,1.203,1.1789,1.6,8500,520,38.5,99.95,459.6,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
DC-PUE-2024-0007,SITE-DC01,수원 데이터센터,2024,7,30853009,25646724,5206285,0,1.203,1.1789,1.6,8500,520,38.5,99.95,459.6,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
DC-PUE-2024-0008,SITE-DC01,수원 데이터센터,2024,8,30584722,25423709,5161013,0,1.203,1.1789,1.6,8500,520,38.5,99.95,459.6,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
DC-PUE-2024-0009,SITE-DC01,수원 데이터센터,2024,9,26292130,22187451,4104679,0,1.185,1.1613,1.2,8500,520,38.5,99.97,459.6,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
DC-PUE-2024-0010,SITE-DC01,수원 데이터센터,2024,10,25487269,21508244,3979025,0,1.185,1.1613,1.2,8500,520,38.5,99.97,459.6,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
