record_id,site_code,site_name,year,quarter,asset_type,asset_count,weight_ton,disposal_method,itad_contractor,data_erasure_method,data_erasure_cert_yn,reuse_rate_pct,recycle_rate_pct,landfill_rate_pct,ghg_avoided_tco2e,resale_value_krw,source_system,synced_at,created_at,updated_at,updated_by
ITAD-2024-0001,SITE-DC01,수원 데이터센터,2024,1,서버(1U/2U),276,82.88,재활용(ITAD),(주)에코아이티,DoD 5220.22-M,Y,15,80,5,34.81,14918400,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0002,SITE-DC01,수원 데이터센터,2024,1,스토리지 장비,104,41.6,재활용(ITAD),(주)에코아이티,NIST SP800-88,Y,20,75,5,17.472,7488000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0003,SITE-DC01,수원 데이터센터,2024,1,네트워크 장비,188,28.28,재활용(ITAD),(주)한국IT자원순환,DoD 5220.22-M,Y,25,70,5,11.878,5090400,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0004,SITE-DC01,수원 데이터센터,2024,1,노트북·PC,406,24.38,재활용/재사용,(주)한국IT자원순환,NIST SP800-88,Y,35,60,5,10.24,4388400,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0005,SITE-DC01,수원 데이터센터,2024,1,모니터·주변기기,318,15.93,재활용,(주)그린환경,물리적파괴,Y,5,90,5,6.691,2867400,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0006,SITE-DC01,수원 데이터센터,2024,1,UPS·배터리,58,29.25,재활용(제련),(주)배터리리사이클링,해당없음,N,0,98,2,12.285,5265000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0007,SITE-DC01,수원 데이터센터,2024,1,냉각장비,15,7.31,위탁처리,(주)냉매솔루션,해당없음,N,0,85,15,3.07,1315800,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0008,SITE-DC02,동탄 데이터센터,2024,1,서버(1U/2U),255,76.5,재활용(ITAD),(주)에코아이티,DoD 5220.22-M,Y,15,80,5,32.13,13770000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0009,SITE-DC02,동탄 데이터센터,2024,1,스토리지 장비,96,38.4,재활용(ITAD),(주)에코아이티,NIST SP800-88,Y,20,75,5,16.128,6912000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0010,SITE-DC02,동탄 데이터센터,2024,1,네트워크 장비,174,26.1,재활용(ITAD),(주)한국IT자원순환,DoD 5220.22-M,Y,25,70,5,10.962,4698000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0011,SITE-DC02,동탄 데이터센터,2024,1,노트북·PC,375,22.5,재활용/재사용,(주)한국IT자원순환,NIST SP800-88,Y,35,60,5,9.45,4050000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0012,SITE-DC02,동탄 데이터센터,2024,1,모니터·주변기기,294,14.7,재활용,(주)그린환경,물리적파괴,Y,5,90,5,6.174,2646000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0013,SITE-DC02,동탄 데이터센터,2024,1,UPS·배터리,54,27.0,재활용(제련),(주)배터리리사이클링,해당없음,N,0,98,2,11.34,4860000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0014,SITE-DC02,동탄 데이터센터,2024,1,냉각장비,14,6.75,위탁처리,(주)냉매솔루션,해당없음,N,0,85,15,2.835,1215000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0015,SITE-DC03,상암 데이터센터,2024,1,서버(1U/2U),170,51.0,재활용(ITAD),(주)에코아이티,DoD 5220.22-M,Y,15,80,5,21.42,9180000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0016,SITE-DC03,상암 데이터센터,2024,1,스토리지 장비,64,25.6,재활용(ITAD),(주)에코아이티,NIST SP800-88,Y,20,75,5,10.752,4608000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0017,SITE-DC03,상암 데이터센터,2024,1,네트워크 장비,116,17.4,재활용(ITAD),(주)한국IT자원순환,DoD 5220.22-M,Y,25,70,5,7.308,3132000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0018,SITE-DC03,상암 데이터센터,2024,1,노트북·PC,250,15.0,재활용/재사용,(주)한국IT자원순환,NIST SP800-88,Y,35,60,5,6.3,2700000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0019,SITE-DC03,상암 데이터센터,2024,1,모니터·주변기기,196,9.8,재활용,(주)그린환경,물리적파괴,Y,5,90,5,4.116,1764000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0020,SITE-DC03,상암 데이터센터,2024,1,UPS·배터리,36,18.0,재활용(제련),(주)배터리리사이클링,해당없음,N,0,98,2,7.56,3240000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0021,SITE-DC03,상암 데이터센터,2024,1,냉각장비,9,4.5,위탁처리,(주)냉매솔루션,해당없음,N,0,85,15,1.89,810000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0022,SITE-DC04,춘천 데이터센터,2024,1,서버(1U/2U),202,60.56,재활용(ITAD),(주)에코아이티,DoD 5220.22-M,Y,15,80,5,25.435,10900800,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0023,SITE-DC04,춘천 데이터센터,2024,1,스토리지 장비,76,30.4,재활용(ITAD),(주)에코아이티,NIST SP800-88,Y,20,75,5,12.768,5472000,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0024,SITE-DC04,춘천 데이터센터,2024,1,네트워크 장비,138,20.66,재활용(ITAD),(주)한국IT자원순환,DoD 5220.22-M,Y,25,70,5,8.677,3718800,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0025,SITE-DC04,춘천 데이터센터,2024,1,노트북·PC,297,17.81,재활용/재사용,(주)한국IT자원순환,NIST SP800-88,Y,35,60,5,7.48,3205800,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0026,SITE-DC04,춘천 데이터센터,2024,1,모니터·주변기기,233,11.64,재활용,(주)그린환경,물리적파괴,Y,5,90,5,4.889,2095200,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0027,SITE-DC04,춘천 데이터센터,2024,1,UPS·배터리,43,21.38,재활용(제련),(주)배터리리사이클링,해당없음,N,0,98,2,8.98,3848400,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
ITAD-2024-0028,SITE-DC04,춘천 데이터센터,2024,1,냉각장비,11,5.34,위탁처리,(주)냉매솔루션,해당없음,N,0,85,15,2.243,961200,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
