record_id,site_code,site_name,year,month,re_type,re_source,generation_kwh,consumption_kwh,certificate_type,certificate_volume_rec,certificate_cost_krw,co2_reduction_tco2e,grid_displacement_factor,meter_id,source_system,synced_at,created_at,updated_at,updated_by
RE-2024-0001,SITE-DC01,수원 데이터센터,2024,1,태양열(집열기),태양열금탕,1598,1598,자가생산,1.598,127840,0.734,0.4596,MTR-DC01-RE-01,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_dc
RE-2024-0002,SITE-DC01,수원 데이터센터,2024,2,태양열(집열기),태양열금탕,1453,1453,자가생산,1.453,116240,0.668,0.4596,MTR-DC01-RE-02,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_dc
RE-2024-0003,SITE-DC01,수원 데이터센터,2024,3,태양열(집열기),태양열금탕,1308,1308,자가생산,1.308,104640,0.601,0.4596,MTR-DC01-RE-03,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_dc
RE-2024-0004,SITE-DC01,수원 데이터센터,2024,4,태양열(집열기),태양열금탕,1017,1017,자가생산,1.017,81360,0.467,0.4596,MTR-DC01-RE-04,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_dc
RE-2024-0005,SITE-DC01,수원 데이터센터,2024,5,태양열(집열기),태양열금탕,872,872,자가생산,0.872,69760,0.401,0.4596,MTR-DC01-RE-05,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_dc
RE-2024-0006,SITE-DC01,수원 데이터센터,2024,6,태양열(집열기),태양열금탕,726,726,자가생산,0.726,58080,0.334,0.4596,MTR-DC01-RE-06,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_dc
RE-2024-0007,SITE-DC01,수원 데이터센터,2024,7,태양열(집열기),태양열금탕,726,726,자가생산,0.726,58080,0.334,0.4596,MTR-DC01-RE-07,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_dc
RE-2024-0008,SITE-DC01,수원 데이터센터,2024,8,태양열(집열기),태양열금탕,872,872,자가생산,0.872,69760,0.401,0.4596,MTR-DC01-RE-08,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_dc
RE-2024-0009,SITE-DC01,수원 데이터센터,2024,9,태양열(집열기),태양열금탕,1162,1162,자가생산,1.162,92960,0.534,0.4596,MTR-DC01-RE-09,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_dc
RE-2024-0010,SITE-DC01,수원 데이터센터,2024,10,태양열(집열기),태양열금탕,1453,1453,자가생산,1.453,116240,0.668,0.4596,MTR-DC01-RE-10,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_dc
