record_id,site_code,site_name,year,month,scope,basis,fuel_category,fuel_type,fuel_code,consumption_amount,consumption_unit,emission_factor_id,co2_tco2e,ch4_tco2e,n2o_tco2e,hfcs_tco2e,total_tco2e,data_quality,verification_body,verification_level,source_system,synced_at,created_at,updated_at,updated_by
GHG-S12-2024-0001,SITE-DC01,수원 데이터센터,2024,1,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,367.3,kg,EF-HFC410A-2023,0.0,0.0,0.0,766.9224,766.9224,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:01:00,user_ghg
GHG-S12-2024-0002,SITE-DC01,수원 데이터센터,2024,2,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,414.8,kg,EF-HFC410A-2023,0.0,0.0,0.0,866.1024,866.1024,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:15:00,user_ghg
GHG-S12-2024-0003,SITE-DC01,수원 데이터센터,2024,3,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,533.1,kg,EF-HFC410A-2023,0.0,0.0,0.0,1113.1128,1113.1128,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:08:00,user_ghg
GHG-S12-2024-0004,SITE-DC01,수원 데이터센터,2024,4,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,675.9,kg,EF-HFC410A-2023,0.0,0.0,0.0,1411.2792,1411.2792,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:43:00,user_ghg
GHG-S12-2024-0005,SITE-DC01,수원 데이터센터,2024,5,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,801.5,kg,EF-HFC410A-2023,0.0,0.0,0.0,1673.532,1673.532,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:05:00,user_ghg
GHG-S12-2024-0006,SITE-DC01,수원 데이터센터,2024,6,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,935.6,kg,EF-HFC410A-2023,0.0,0.0,0.0,1953.5328,1953.5328,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:02:00,user_ghg
GHG-S12-2024-0007,SITE-DC01,수원 데이터센터,2024,7,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,916.3,kg,EF-HFC410A-2023,0.0,0.0,0.0,1913.2344,1913.2344,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:05:00,user_ghg
GHG-S12-2024-0008,SITE-DC01,수원 데이터센터,2024,8,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,828.5,kg,EF-HFC410A-2023,0.0,0.0,0.0,1729.908,1729.908,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:14:00,user_ghg
GHG-S12-2024-0009,SITE-DC01,수원 데이터센터,2024,9,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,708.7,kg,EF-HFC410A-2023,0.0,0.0,0.0,1479.7656,1479.7656,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:38:00,user_ghg
GHG-S12-2024-0010,SITE-DC01,수원 데이터센터,2024,10,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,542.5,kg,EF-HFC410A-2023,0.0,0.0,0.0,1132.74,1132.74,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:35:00,user_ghg
GHG-S12-2024-0011,SITE-DC01,수원 데이터센터,2024,11,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,429.3,kg,EF-HFC410A-2023,0.0,0.0,0.0,896.3784,896.3784,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:45:00,user_ghg
GHG-S12-2024-0012,SITE-DC01,수원 데이터센터,2024,12,Scope1,시장기반,탈루,HFC-410A,FUEL-HFC410A-01,358.7,kg,EF-HFC410A-2023,0.0,0.0,0.0,748.9656,748.9656,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 17:26:00,user_ghg
GHG-S12-2024-0013,SITE-DC01,수원 데이터센터,2024,1,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1785116.3,Nm³,EF-LNG-2023,3729.5096,81.1603,54.1069,0.0,3864.7768,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:28:00,user_ghg
GHG-S12-2024-0014,SITE-DC01,수원 데이터센터,2024,2,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1665335.9,Nm³,EF-LNG-2023,3479.2614,75.7145,50.4763,0.0,3605.4522,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:51:00,user_ghg
GHG-S12-2024-0015,SITE-DC01,수원 데이터센터,2024,3,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1414036.8,Nm³,EF-LNG-2023,2954.2411,64.2892,42.8595,0.0,3061.3897,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 09:48:00,user_ghg
GHG-S12-2024-0016,SITE-DC01,수원 데이터센터,2024,4,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1176991.9,Nm³,EF-LNG-2023,2459.0009,53.5119,35.6746,0.0,2548.1875,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 11:44:00,user_ghg
GHG-S12-2024-0017,SITE-DC01,수원 데이터센터,2024,5,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1030534.6,Nm³,EF-LNG-2023,2153.0186,46.8533,31.2355,0.0,2231.1074,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 15:21:00,user_ghg
GHG-S12-2024-0018,SITE-DC01,수원 데이터센터,2024,6,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,897855.7,Nm³,EF-LNG-2023,1875.8226,40.821,27.214,0.0,1943.8576,추정,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:09:00,user_ghg
GHG-S12-2024-0019,SITE-DC01,수원 데이터센터,2024,7,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,927565.4,Nm³,EF-LNG-2023,1937.8928,42.1718,28.1145,0.0,2008.1791,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 12:48:00,user_ghg
GHG-S12-2024-0020,SITE-DC01,수원 데이터센터,2024,8,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1046454.0,Nm³,EF-LNG-2023,2186.2778,47.577,31.718,0.0,2265.5729,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:06:00,user_ghg
GHG-S12-2024-0021,SITE-DC01,수원 데이터센터,2024,9,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1156582.4,Nm³,EF-LNG-2023,2416.3609,52.584,35.056,0.0,2504.0009,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:24:00,user_ghg
GHG-S12-2024-0022,SITE-DC01,수원 데이터센터,2024,10,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1317318.2,Nm³,EF-LNG-2023,2752.1741,59.8919,39.9279,0.0,2851.9939,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 10:22:00,user_ghg
GHG-S12-2024-0023,SITE-DC01,수원 데이터센터,2024,11,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1420885.8,Nm³,EF-LNG-2023,2968.5502,64.6006,43.067,0.0,3076.2178,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 14:38:00,user_ghg
GHG-S12-2024-0024,SITE-DC01,수원 데이터센터,2024,12,Scope1,시장기반,고정연소,LNG,FUEL-LNG-01,1636256.9,Nm³,EF-LNG-2023,3418.5088,74.3924,49.5949,0.0,3542.4962,실측,한국품질재단(KFQ),합리적 확신,GHG,2025-01-05 08:55:00,2025-01-05 09:00:00,2025-01-13 13:51:00,user_ghg
