record_id,year,quarter,scope3_category,category_name,subcategory,calculation_method,activity_data,activity_unit,emission_factor,ef_unit,ef_source,ghg_emission_tco2e,data_quality,boundary,source_file,notes,source_system,created_at,updated_at,updated_by
S3-2024-0001,2024,1,Cat.1,구매한 상품 및 서비스,IT서비스 구매,공급업체 기반법,46250.0,백만 원,0.161,kgCO₂e/USD,환경부 EEIO,283250.2,E2,연결,SRM_SUPPLIER_ESG,서버·SW·클라우드·협력사 구매 (Scope3 Cat.1 전체),GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0002,2024,1,Cat.2,자본재,IT장비(서버·스토리지·네트워크),지출액 기반법,222500.0,백만 원,0.22,kgCO₂e/USD,환경부 EEIO,48915.5,E2,연결,ERP_CAPEX,데이터센터 신규 장비,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0003,2024,1,Cat.3,Scope 1·2 미포함 에너지,연료 업스트림,배출계수법,945.5,TJ,4.18,kgCO₂e/GJ,IEA 2023,3947.8,E1,연결,EMS_ENERGY_USAGE,연료 채굴·정제·운송,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0004,2024,1,Cat.4,업스트림 운송 및 유통,트럭(Truck),거리·중량 기반법,462500000.0,톤·km,0.000527,kgCO₂e/톤km,IPCC AR5,243758.2,E1,연결,SRM_LOGISTICS,국내외 육상 운송,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0005,2024,1,Cat.4,업스트림 운송 및 유통,해운(Ocean),거리·중량 기반법,13594000000.0,톤·km,1.12e-05,kgCO₂e/톤km,IPCC AR5,152253.8,E1,연결,SRM_LOGISTICS,해상 운송,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0006,2024,1,Cat.4,업스트림 운송 및 유통,철도(Train),거리·중량 기반법,20561000.0,톤·km,4.1e-05,kgCO₂e/톤km,IPCC AR5,843.2,E2,연결,SRM_LOGISTICS,,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0007,2024,1,Cat.4,업스트림 운송 및 유통,창고(Warehouse),지출액 기반법,2050.0,백만 원,0.677,kgCO₂e/USD,환경부 EEIO,1388.0,E2,연결,SRM_LOGISTICS,,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0008,2024,1,Cat.5,사업 운영에서 발생하는 폐기물,IT장비 폐기,폐기물 유형·처리방법,171.2,톤,2.33,kgCO₂e/톤,환경부,399.8,M2,본사,EMS_WASTE,,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0009,2024,1,Cat.6,출장,항공·철도·호텔,거리·지출 기반법,8442.2,인·km,0.195,kgCO₂e/인km,DEFRA 2023,1646.2,M2,연결,HR_COMMUTE_TRAVEL,,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0010,2024,1,Cat.7,임직원 통근,자가용·대중교통,거리 기반법,20456.5,인·km,0.171,kgCO₂e/인km,IPCC AR5,3498.0,E2,연결,HR_COMMUTE_TRAVEL,재택근무 감소 효과 반영,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0011,2024,1,Cat.8,업스트림 임차 자산,임차 사업장 에너지,에너지 소비 기반,85.8,TJ,46.1,tCO₂e/TJ,환경부,3955.2,M1,연결,EMS_ENERGY_USAGE,임차 오피스·DC,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0012,2024,1,Cat.9,다운스트림 운송 및 유통,고객 배송,거리·중량 기반법,4620.5,톤·km,0.0112,kgCO₂e/톤km,IPCC AR5,51.8,E2,연결,SRM_LOGISTICS,2024 신규 집계,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0013,2024,1,Cat.11,판매한 제품의 사용,클라우드 서비스 전력,고객 에너지 소비,685.0,MWh,0.4596,kgCO₂e/kWh,환경부 2023,314.8,E2,연결,GHG_SCOPE3_DETAIL,2024 신규 카테고리,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
S3-2024-0014,2024,1,Cat.15,투자,지분 투자 포트폴리오,지분율 기반법,24263.5,억 원(자본),0.016,tCO₂e/억원,PCAF,3897.0,E2,연결,ERP_FINANCIAL,,GHG,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_ghg
