record_id,year,quarter,infosec_category,investment_krw,investment_ratio_to_revenue_pct,dedicated_staff_count,certification_name,certification_status,security_audit_count,vulnerability_found,vulnerability_patched,patch_rate_pct,personal_data_breach_count,regulatory_violation_count,phishing_blocked_count,source_system,created_at,updated_at,updated_by
IS-2024-0001,2024,1,기술적 보호조치,6607392364,0.1911,185,ISO27001,유지,1,3,3,95.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0002,2024,1,관리적 보호조치,1668399675,0.0483,42,ISMS-P,유지,0,1,1,95.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0003,2024,1,물리적 보호조치,2436393176,0.0705,28,ISO27001,유지,1,0,0,95.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0004,2024,1,클라우드 보안,2131844029,0.0617,35,CSA STAR,유지,0,2,2,95.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0005,2024,1,개인정보보호,1787571080,0.0517,22,ISMS-P,유지,1,0,0,95.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0006,2024,1,보안 인텔리전스,1019577579,0.0295,18,SOC2 Type2,취득중,0,1,1,95.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0007,2024,1,임직원 보안교육,648822096,0.0188,26401,해당없음,해당없음,0,0,0,100.0,0,0,212500,IS,2024-01-10 08:00:00,2024-01-10 09:00:00,user_is
IS-2024-0008,2024,2,기술적 보호조치,6607392364,0.1911,185,ISO27001,유지,1,3,3,95.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0009,2024,2,관리적 보호조치,1668399675,0.0483,42,ISMS-P,유지,0,1,1,95.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0010,2024,2,물리적 보호조치,2436393176,0.0705,28,ISO27001,유지,1,0,0,95.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0011,2024,2,클라우드 보안,2131844029,0.0617,35,CSA STAR,유지,0,2,2,95.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0012,2024,2,개인정보보호,1787571080,0.0517,22,ISMS-P,유지,1,0,0,95.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0013,2024,2,보안 인텔리전스,1019577579,0.0295,18,SOC2 Type2,취득중,0,1,1,95.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0014,2024,2,임직원 보안교육,648822096,0.0188,26401,해당없음,해당없음,0,0,0,100.0,0,0,212500,IS,2024-04-10 08:00:00,2024-04-10 09:00:00,user_is
IS-2024-0015,2024,3,기술적 보호조치,6607392364,0.1911,185,ISO27001,유지,1,3,3,95.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0016,2024,3,관리적 보호조치,1668399675,0.0483,42,ISMS-P,유지,0,1,1,95.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0017,2024,3,물리적 보호조치,2436393176,0.0705,28,ISO27001,유지,1,0,0,95.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0018,2024,3,클라우드 보안,2131844029,0.0617,35,CSA STAR,유지,0,2,2,95.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0019,2024,3,개인정보보호,1787571080,0.0517,22,ISMS-P,유지,1,0,0,95.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0020,2024,3,보안 인텔리전스,1019577579,0.0295,18,SOC2 Type2,취득중,0,1,1,95.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0021,2024,3,임직원 보안교육,648822096,0.0188,26401,해당없음,해당없음,0,0,0,100.0,0,0,212500,IS,2024-07-10 08:00:00,2024-07-10 09:00:00,user_is
IS-2024-0022,2024,4,기술적 보호조치,6607392364,0.1911,185,ISO27001,유지,1,3,3,95.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
IS-2024-0023,2024,4,관리적 보호조치,1668399675,0.0483,42,ISMS-P,유지,0,1,1,95.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
IS-2024-0024,2024,4,물리적 보호조치,2436393176,0.0705,28,ISO27001,유지,1,0,0,95.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
IS-2024-0025,2024,4,클라우드 보안,2131844029,0.0617,35,CSA STAR,유지,0,2,2,95.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
IS-2024-0026,2024,4,개인정보보호,1787571080,0.0517,22,ISMS-P,유지,1,0,0,95.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
IS-2024-0027,2024,4,보안 인텔리전스,1019577579,0.0295,18,SOC2 Type2,취득중,0,1,1,95.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
IS-2024-0028,2024,4,임직원 보안교육,648822096,0.0188,26401,해당없음,해당없음,0,0,0,100.0,0,0,212500,IS,2024-10-10 08:00:00,2024-10-10 09:00:00,user_is
