record_id,year,quarter,rd_category,research_stage,rd_cost_m,rd_headcount,rd_revenue_ratio_pct,patent_applied,patent_registered,patent_cumulative,key_technology_area,source_system,created_at,updated_at,updated_by
RD-2024-0001,2024,1,AI·머신러닝,응용연구,512112,1850,1.216,3,1,706,AI플랫폼·LLM·MLOps,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0002,2024,1,클라우드,응용연구,400088,1420,0.95,3,1,551,멀티클라우드·SRE,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0003,2024,1,보안·사이버,응용연구,240053,820,0.57,2,1,331,제로트러스트·SIEM,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0004,2024,1,스마트팩토리,개발,192042,680,0.456,1,1,265,디지털트윈·MES,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0005,2024,1,블록체인·Web3,기초연구,96021,340,0.228,1,0,132,공급망추적,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0006,2024,1,양자컴퓨팅,기초연구,64014,220,0.152,0,0,88,양자암호,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0007,2024,1,기타IT서비스,개발,96021,380,0.228,1,0,132,ERP·SCM·HR,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_rd
RD-2024-0008,2024,2,AI·머신러닝,응용연구,512112,1850,1.216,3,1,706,AI플랫폼·LLM·MLOps,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0009,2024,2,클라우드,응용연구,400088,1420,0.95,3,1,551,멀티클라우드·SRE,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0010,2024,2,보안·사이버,응용연구,240053,820,0.57,2,1,331,제로트러스트·SIEM,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0011,2024,2,스마트팩토리,개발,192042,680,0.456,1,1,265,디지털트윈·MES,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0012,2024,2,블록체인·Web3,기초연구,96021,340,0.228,1,0,132,공급망추적,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0013,2024,2,양자컴퓨팅,기초연구,64014,220,0.152,0,0,88,양자암호,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0014,2024,2,기타IT서비스,개발,96021,380,0.228,1,0,132,ERP·SCM·HR,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_rd
RD-2024-0015,2024,3,AI·머신러닝,응용연구,512112,1850,1.216,3,1,706,AI플랫폼·LLM·MLOps,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0016,2024,3,클라우드,응용연구,400088,1420,0.95,3,1,551,멀티클라우드·SRE,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0017,2024,3,보안·사이버,응용연구,240053,820,0.57,2,1,331,제로트러스트·SIEM,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0018,2024,3,스마트팩토리,개발,192042,680,0.456,1,1,265,디지털트윈·MES,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0019,2024,3,블록체인·Web3,기초연구,96021,340,0.228,1,0,132,공급망추적,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0020,2024,3,양자컴퓨팅,기초연구,64014,220,0.152,0,0,88,양자암호,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0021,2024,3,기타IT서비스,개발,96021,380,0.228,1,0,132,ERP·SCM·HR,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_rd
RD-2024-0022,2024,4,AI·머신러닝,응용연구,512112,1850,1.216,3,1,706,AI플랫폼·LLM·MLOps,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
RD-2024-0023,2024,4,클라우드,응용연구,400088,1420,0.95,3,1,551,멀티클라우드·SRE,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
RD-2024-0024,2024,4,보안·사이버,응용연구,240053,820,0.57,2,1,331,제로트러스트·SIEM,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
RD-2024-0025,2024,4,스마트팩토리,개발,192042,680,0.456,1,1,265,디지털트윈·MES,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
RD-2024-0026,2024,4,블록체인·Web3,기초연구,96021,340,0.228,1,0,132,공급망추적,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
RD-2024-0027,2024,4,양자컴퓨팅,기초연구,64014,220,0.152,0,0,88,양자암호,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
RD-2024-0028,2024,4,기타IT서비스,개발,96021,380,0.228,1,0,132,ERP·SCM·HR,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_rd
