record_id,year,quarter,stakeholder,distribution_category,amount_m,ratio_to_revenue_pct,basis,source_system,created_at,updated_at,updated_by
VD-2024-0001,2024,1,임직원,급여,625603,19.25,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0002,2024,1,임직원,복리후생,126937,3.91,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0003,2024,1,협력회사,구매대금,439851,13.54,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0004,2024,1,주주,현금배당,52714,1.62,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0005,2024,1,채권자,이자비용,11748,0.36,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0006,2024,1,정부,법인세 납부,73616,2.27,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0007,2024,1,지역사회,기부금·사회공헌,743,0.02,연결,ERP,2024-01-10 08:00:00,2024-01-10 09:00:00,user_fin
VD-2024-0008,2024,2,임직원,급여,660211,19.25,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0009,2024,2,임직원,복리후생,133959,3.91,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0010,2024,2,협력회사,구매대금,464184,13.54,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0011,2024,2,주주,현금배당,55630,1.62,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0012,2024,2,채권자,이자비용,12398,0.36,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0013,2024,2,정부,법인세 납부,77689,2.27,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0014,2024,2,지역사회,기부금·사회공헌,784,0.02,연결,ERP,2024-04-10 08:00:00,2024-04-10 09:00:00,user_fin
VD-2024-0015,2024,3,임직원,급여,686832,19.25,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0016,2024,3,임직원,복리후생,139360,3.91,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0017,2024,3,협력회사,구매대금,482901,13.54,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0018,2024,3,주주,현금배당,57874,1.62,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0019,2024,3,채권자,이자비용,12897,0.36,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0020,2024,3,정부,법인세 납부,80821,2.27,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0021,2024,3,지역사회,기부금·사회공헌,816,0.02,연결,ERP,2024-07-10 08:00:00,2024-07-10 09:00:00,user_fin
VD-2024-0022,2024,4,임직원,급여,689494,19.25,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
VD-2024-0023,2024,4,임직원,복리후생,139900,3.91,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
VD-2024-0024,2024,4,협력회사,구매대금,484772,13.54,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
VD-2024-0025,2024,4,주주,현금배당,58098,1.62,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
VD-2024-0026,2024,4,채권자,이자비용,12947,0.36,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
VD-2024-0027,2024,4,정부,법인세 납부,81135,2.27,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
VD-2024-0028,2024,4,지역사회,기부금·사회공헌,819,0.02,연결,ERP,2024-10-10 08:00:00,2024-10-10 09:00:00,user_fin
