record_id,year,quarter,region,employment_type,gender,job_level,training_category,participant_count,training_hours_per_person,total_training_hours,training_cost_krw,online_yn,mandatory_yn,avg_hours_per_person,source_system,synced_at,created_at,updated_at,updated_by
HR-TR-2024-00001,2024,1,국내,정규직,남성,전체,AI·클라우드 전문교육,4207,8.5,35759.5,357595000,Y,N,8.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00002,2024,1,국내,정규직,남성,전체,ESG·환경경영,12893,2.0,25786.0,193395000,Y,Y,2.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00003,2024,1,국내,정규직,남성,전체,정보보호·사이버보안,13572,4.0,54288.0,271440000,Y,Y,4.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00004,2024,1,국내,정규직,남성,전체,안전보건,13572,2.5,33930.0,162864000,Y,Y,2.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00005,2024,1,국내,정규직,남성,전체,직무역량(IT·개발),8822,12.0,105864.0,838090000,Y,N,12.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00006,2024,1,국내,정규직,남성,전체,리더십·관리자교육,2986,6.0,17916.0,358320000,N,N,6.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00007,2024,1,국내,정규직,남성,전체,인권·윤리경영,12893,1.5,19339.5,103144000,Y,Y,1.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00008,2024,1,국내,정규직,남성,전체,어학·글로벌역량,2443,4.0,9772.0,109935000,Y,N,4.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00009,2024,1,국내,정규직,남성,전체,신입·온보딩,1086,40.0,43440.0,195480000,N,Y,40.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00010,2024,1,국내,정규직,남성,전체,디지털 리터러시,7465,3.0,22395.0,134370000,Y,N,3.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00011,2024,1,국내,정규직,여성,전체,AI·클라우드 전문교육,1677,8.5,14254.5,142545000,Y,N,8.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00012,2024,1,국내,정규직,여성,전체,ESG·환경경영,5140,2.0,10280.0,77100000,Y,Y,2.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00013,2024,1,국내,정규직,여성,전체,정보보호·사이버보안,5410,4.0,21640.0,108200000,Y,Y,4.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00014,2024,1,국내,정규직,여성,전체,안전보건,5410,2.5,13525.0,64920000,Y,Y,2.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00015,2024,1,국내,정규직,여성,전체,직무역량(IT·개발),3516,12.0,42192.0,334020000,Y,N,12.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00016,2024,1,국내,정규직,여성,전체,리더십·관리자교육,1190,6.0,7140.0,142800000,N,N,6.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00017,2024,1,국내,정규직,여성,전체,인권·윤리경영,5140,1.5,7710.0,41120000,Y,Y,1.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00018,2024,1,국내,정규직,여성,전체,어학·글로벌역량,974,4.0,3896.0,43830000,Y,N,4.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00019,2024,1,국내,정규직,여성,전체,신입·온보딩,433,40.0,17320.0,77940000,N,Y,40.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00020,2024,1,국내,정규직,여성,전체,디지털 리터러시,2976,3.0,8928.0,53568000,Y,N,3.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00021,2024,1,국내,계약직,남성,전체,AI·클라우드 전문교육,259,8.5,2201.5,22015000,Y,N,8.5,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00022,2024,1,국내,계약직,남성,전체,ESG·환경경영,794,2.0,1588.0,11910000,Y,Y,2.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
HR-TR-2024-00023,2024,1,국내,계약직,남성,전체,정보보호·사이버보안,836,4.0,3344.0,16720000,Y,Y,4.0,HR,2024-04-05 07:00:00,2024-04-05 09:00:00,2024-04-10 15:00:00,user_hr
