record_id,site_code,site_name,year,quarter,waste_type,waste_category,waste_subcategory,generation_ton,recycling_ton,landfill_ton,incineration_ton,recycling_rate_pct,hazardous_waste_yn,treatment_method,treatment_contractor,treatment_cost_krw,data_quality,source_system,synced_at,created_at,updated_at,updated_by
WASTE-MC-01-2024-Q1-001,SITE-MC01,멀티캠퍼스 역삼,2024,1,일반폐기물,생활폐기물,종이류,1.625,1.4949999999999999,0.13,0.0,92.0,N,재활용,서울환경,812500,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-01-2024-Q1-002,SITE-MC01,멀티캠퍼스 역삼,2024,1,일반폐기물,생활폐기물,플라스틱,0.78,0.6174999999999999,0.1625,0.0,79.2,N,재활용,서울환경,390000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-01-2024-Q1-003,SITE-MC01,멀티캠퍼스 역삼,2024,1,일반폐기물,생활폐기물,음식물,0.65,0.5720000000000001,0.0,0.078,88.0,N,재활용,서울환경,325000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-01-2024-Q1-004,SITE-MC01,멀티캠퍼스 역삼,2024,1,지정폐기물,전자폐기물,IT장비,0.195,0.18200000000000002,0.0,0.013000000000000001,93.3,Y,재활용,삼성환경,97500,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-01-2024-Q2-001,SITE-MC01,멀티캠퍼스 역삼,2024,2,일반폐기물,생활폐기물,종이류,1.625,1.4949999999999999,0.13,0.0,92.0,N,재활용,서울환경,812500,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-01-2024-Q2-002,SITE-MC01,멀티캠퍼스 역삼,2024,2,일반폐기물,생활폐기물,플라스틱,0.78,0.6174999999999999,0.1625,0.0,79.2,N,재활용,서울환경,390000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-01-2024-Q2-003,SITE-MC01,멀티캠퍼스 역삼,2024,2,일반폐기물,생활폐기물,음식물,0.65,0.5720000000000001,0.0,0.078,88.0,N,재활용,서울환경,325000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-01-2024-Q2-004,SITE-MC01,멀티캠퍼스 역삼,2024,2,지정폐기물,전자폐기물,IT장비,0.195,0.18200000000000002,0.0,0.013000000000000001,93.3,Y,재활용,삼성환경,97500,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-01-2024-Q3-001,SITE-MC01,멀티캠퍼스 역삼,2024,3,일반폐기물,생활폐기물,종이류,1.625,1.4949999999999999,0.13,0.0,92.0,N,재활용,서울환경,812500,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-01-2024-Q3-002,SITE-MC01,멀티캠퍼스 역삼,2024,3,일반폐기물,생활폐기물,플라스틱,0.78,0.6174999999999999,0.1625,0.0,79.2,N,재활용,서울환경,390000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-01-2024-Q3-003,SITE-MC01,멀티캠퍼스 역삼,2024,3,일반폐기물,생활폐기물,음식물,0.65,0.5720000000000001,0.0,0.078,88.0,N,재활용,서울환경,325000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-01-2024-Q3-004,SITE-MC01,멀티캠퍼스 역삼,2024,3,지정폐기물,전자폐기물,IT장비,0.195,0.18200000000000002,0.0,0.013000000000000001,93.3,Y,재활용,삼성환경,97500,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-01-2024-Q4-001,SITE-MC01,멀티캠퍼스 역삼,2024,4,일반폐기물,생활폐기물,종이류,1.625,1.4949999999999999,0.13,0.0,92.0,N,재활용,서울환경,812500,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-MC-01-2024-Q4-002,SITE-MC01,멀티캠퍼스 역삼,2024,4,일반폐기물,생활폐기물,플라스틱,0.78,0.6174999999999999,0.1625,0.0,79.2,N,재활용,서울환경,390000,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-MC-01-2024-Q4-003,SITE-MC01,멀티캠퍼스 역삼,2024,4,일반폐기물,생활폐기물,음식물,0.65,0.5720000000000001,0.0,0.078,88.0,N,재활용,서울환경,325000,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-MC-01-2024-Q4-004,SITE-MC01,멀티캠퍼스 역삼,2024,4,지정폐기물,전자폐기물,IT장비,0.195,0.18200000000000002,0.0,0.013000000000000001,93.3,Y,재활용,삼성환경,97500,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-MC-02-2024-Q1-001,SITE-MC02,멀티캠퍼스 선릉,2024,1,일반폐기물,생활폐기물,종이류,0.875,0.8049999999999999,0.06999999999999999,0.0,92.0,N,재활용,서울환경,437500,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-02-2024-Q1-002,SITE-MC02,멀티캠퍼스 선릉,2024,1,일반폐기물,생활폐기물,플라스틱,0.42,0.33249999999999996,0.0875,0.0,79.2,N,재활용,서울환경,210000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-02-2024-Q1-003,SITE-MC02,멀티캠퍼스 선릉,2024,1,일반폐기물,생활폐기물,음식물,0.35,0.308,0.0,0.041999999999999996,88.0,N,재활용,서울환경,175000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-02-2024-Q1-004,SITE-MC02,멀티캠퍼스 선릉,2024,1,지정폐기물,전자폐기물,IT장비,0.105,0.098,0.0,0.006999999999999999,93.3,Y,재활용,삼성환경,52500,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-MC-02-2024-Q2-001,SITE-MC02,멀티캠퍼스 선릉,2024,2,일반폐기물,생활폐기물,종이류,0.875,0.8049999999999999,0.06999999999999999,0.0,92.0,N,재활용,서울환경,437500,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-02-2024-Q2-002,SITE-MC02,멀티캠퍼스 선릉,2024,2,일반폐기물,생활폐기물,플라스틱,0.42,0.33249999999999996,0.0875,0.0,79.2,N,재활용,서울환경,210000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-02-2024-Q2-003,SITE-MC02,멀티캠퍼스 선릉,2024,2,일반폐기물,생활폐기물,음식물,0.35,0.308,0.0,0.041999999999999996,88.0,N,재활용,서울환경,175000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-02-2024-Q2-004,SITE-MC02,멀티캠퍼스 선릉,2024,2,지정폐기물,전자폐기물,IT장비,0.105,0.098,0.0,0.006999999999999999,93.3,Y,재활용,삼성환경,52500,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-MC-02-2024-Q3-001,SITE-MC02,멀티캠퍼스 선릉,2024,3,일반폐기물,생활폐기물,종이류,0.875,0.8049999999999999,0.06999999999999999,0.0,92.0,N,재활용,서울환경,437500,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-02-2024-Q3-002,SITE-MC02,멀티캠퍼스 선릉,2024,3,일반폐기물,생활폐기물,플라스틱,0.42,0.33249999999999996,0.0875,0.0,79.2,N,재활용,서울환경,210000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-02-2024-Q3-003,SITE-MC02,멀티캠퍼스 선릉,2024,3,일반폐기물,생활폐기물,음식물,0.35,0.308,0.0,0.041999999999999996,88.0,N,재활용,서울환경,175000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-02-2024-Q3-004,SITE-MC02,멀티캠퍼스 선릉,2024,3,지정폐기물,전자폐기물,IT장비,0.105,0.098,0.0,0.006999999999999999,93.3,Y,재활용,삼성환경,52500,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-MC-02-2024-Q4-001,SITE-MC02,멀티캠퍼스 선릉,2024,4,일반폐기물,생활폐기물,종이류,0.875,0.8049999999999999,0.06999999999999999,0.0,92.0,N,재활용,서울환경,437500,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
