site_code,site_name,company_id,company_name,year,month,energy_type,consumption_kwh,emission_factor,emission_tco2e,facility,usage_amount,usage_unit,ghg_raw_category
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,1,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,2,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,3,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,4,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,5,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,6,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,7,전력,628458.022612461,0.4157,261.25,미라콤 서울,628458.022612461,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,8,전력,628458.022612461,0.4157,261.25,미라콤 서울,628458.022612461,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,9,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,10,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
SITE-MI01,미라콤 서울,SUB-006,미라콤아이앤씨 주식회사,2024,11,전력,542759.2013471253,0.4157,225.62,미라콤 서울,542759.2013471253,kWh,energy
