record_id,site_code,site_name,year,quarter,waste_type,waste_category,waste_subcategory,generation_ton,recycling_ton,landfill_ton,incineration_ton,recycling_rate_pct,hazardous_waste_yn,treatment_method,treatment_contractor,treatment_cost_krw,data_quality,source_system,synced_at,created_at,updated_at,updated_by
WST-MI-2024-Q1-001,SITE-MI01,미라콤 서울,2024,1,일반폐기물,종이류,,5.8,5.5,0.3,0,94.8,N,위탁처리,그린환경 주식회사,870000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-MI-2024-Q1-002,SITE-MI01,미라콤 서울,2024,1,일반폐기물,플라스틱,,2.8,2.3,0.5,0,82.1,N,위탁처리,그린환경 주식회사,420000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-MI-2024-Q1-003,SITE-MI01,미라콤 서울,2024,1,일반폐기물,음식물,,8.5,0,0,8.5,0,N,위탁처리,그린환경 주식회사,1275000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-MI-2024-Q1-004,SITE-MI01,미라콤 서울,2024,1,전자폐기물,IT장비,,1.8,1.8,0,0,100,Y,위탁처리,전문처리업체,270000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-MI-2024-Q1-005,SITE-MI01,미라콤 서울,2024,1,전자폐기물,네트워크장비,,1.2,1.2,0,0,100,Y,위탁처리,전문처리업체,180000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-MI-2024-Q2-001,SITE-MI01,미라콤 서울,2024,2,일반폐기물,종이류,,5.8,5.5,0.3,0,94.8,N,위탁처리,그린환경 주식회사,870000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-MI-2024-Q2-002,SITE-MI01,미라콤 서울,2024,2,일반폐기물,플라스틱,,2.8,2.3,0.5,0,82.1,N,위탁처리,그린환경 주식회사,420000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-MI-2024-Q2-003,SITE-MI01,미라콤 서울,2024,2,일반폐기물,음식물,,8.5,0,0,8.5,0,N,위탁처리,그린환경 주식회사,1275000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-MI-2024-Q2-004,SITE-MI01,미라콤 서울,2024,2,전자폐기물,IT장비,,1.8,1.8,0,0,100,Y,위탁처리,전문처리업체,270000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-MI-2024-Q2-005,SITE-MI01,미라콤 서울,2024,2,전자폐기물,네트워크장비,,1.2,1.2,0,0,100,Y,위탁처리,전문처리업체,180000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
