record_id,site_code,site_name,year,month,total_headcount,permanent,contract,male,female,new_hire,resignation,turnover_rate_pct,data_quality,source_system,synced_at,created_at,updated_at,updated_by
HC-MI-2024-0001,SITE-MI01,미라콤 서울,2024,1,580,516,63,371,209,6,1,0.17,M1,HR,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_001
HC-MI-2024-0002,SITE-MI01,미라콤 서울,2024,2,580,516,63,371,209,2,1,0.17,M1,HR,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_001
HC-MI-2024-0003,SITE-MI01,미라콤 서울,2024,3,581,517,63,371,210,2,1,0.17,M1,HR,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
HC-MI-2024-0004,SITE-MI01,미라콤 서울,2024,4,581,517,63,371,210,6,1,0.17,M1,HR,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_001
HC-MI-2024-0005,SITE-MI01,미라콤 서울,2024,5,581,517,63,371,210,2,1,0.17,M1,HR,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_001
HC-MI-2024-0006,SITE-MI01,미라콤 서울,2024,6,582,517,64,372,210,2,3,0.52,M1,HR,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
HC-MI-2024-0007,SITE-MI01,미라콤 서울,2024,7,582,517,64,372,210,6,1,0.17,M1,HR,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_001
HC-MI-2024-0008,SITE-MI01,미라콤 서울,2024,8,582,517,64,372,210,2,1,0.17,M1,HR,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_001
HC-MI-2024-0009,SITE-MI01,미라콤 서울,2024,9,583,518,64,373,210,2,1,0.17,M1,HR,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
HC-MI-2024-0010,SITE-MI01,미라콤 서울,2024,10,583,518,64,373,210,6,1,0.17,M1,HR,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_001
HC-MI-2024-0011,SITE-MI01,미라콤 서울,2024,11,583,518,64,373,210,2,1,0.17,M1,HR,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_001
HC-MI-2024-0012,SITE-MI01,미라콤 서울,2024,12,584,519,64,373,211,2,3,0.51,M1,HR,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
