record_id,site_code,site_name,year,month,total_headcount,permanent,contract,male,female,new_hire,resignation,turnover_rate_pct,data_quality,source_system,synced_at,created_at,updated_at,updated_by
HC-SI-2024-0001,SITE-SI01,시큐아이 서울,2024,1,340,309,30,204,136,4,0,0.0,M1,HR,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_001
HC-SI-2024-0002,SITE-SI01,시큐아이 서울,2024,2,340,309,30,204,136,1,0,0.0,M1,HR,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_001
HC-SI-2024-0003,SITE-SI01,시큐아이 서울,2024,3,340,309,30,204,136,1,0,0.0,M1,HR,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
HC-SI-2024-0004,SITE-SI01,시큐아이 서울,2024,4,341,310,30,204,137,4,0,0.0,M1,HR,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_001
HC-SI-2024-0005,SITE-SI01,시큐아이 서울,2024,5,341,310,30,204,137,1,0,0.0,M1,HR,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_001
HC-SI-2024-0006,SITE-SI01,시큐아이 서울,2024,6,341,310,30,204,137,1,2,0.59,M1,HR,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
HC-SI-2024-0007,SITE-SI01,시큐아이 서울,2024,7,341,310,30,204,137,4,0,0.0,M1,HR,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_001
HC-SI-2024-0008,SITE-SI01,시큐아이 서울,2024,8,342,311,30,205,137,1,0,0.0,M1,HR,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_001
HC-SI-2024-0009,SITE-SI01,시큐아이 서울,2024,9,342,311,30,205,137,1,0,0.0,M1,HR,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
HC-SI-2024-0010,SITE-SI01,시큐아이 서울,2024,10,342,311,30,205,137,4,0,0.0,M1,HR,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_001
HC-SI-2024-0011,SITE-SI01,시큐아이 서울,2024,11,342,311,30,205,137,1,0,0.0,M1,HR,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_001
HC-SI-2024-0012,SITE-SI01,시큐아이 서울,2024,12,343,312,30,205,138,1,2,0.58,M1,HR,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
