site_code,site_name,company_id,company_name,year,month,energy_type,consumption_kwh,emission_factor,emission_tco2e,facility,usage_amount,usage_unit,ghg_raw_category
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,1,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,2,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,3,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,4,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,5,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,6,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,7,전력,926148.664902574,0.4157,385.0,에스코어 판교,926148.664902574,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,8,전력,926148.664902574,0.4157,385.0,에스코어 판교,926148.664902574,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,9,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,10,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,11,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,12,전력,799855.665143132,0.4157,332.5,에스코어 판교,799855.665143132,kWh,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,1,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,1,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,2,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,2,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,3,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,3,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,4,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,4,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,5,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,5,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,6,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,6,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,7,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,7,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,8,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,8,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,9,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,9,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,10,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,10,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,11,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,11,경유(차량),0,,,에스코어 판교,720.0,L,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,12,도시가스,0,,,에스코어 판교,5200.0,Nm³,energy
SITE-SC01,에스코어 판교,SUB-004,에스코어 주식회사,2024,12,경유(차량),0,,,에스코어 판교,720.0,L,energy
