record_id,site_code,site_name,year,quarter,waste_type,waste_category,waste_subcategory,generation_ton,recycling_ton,landfill_ton,incineration_ton,recycling_rate_pct,hazardous_waste_yn,treatment_method,treatment_contractor,treatment_cost_krw,data_quality,source_system,synced_at,created_at,updated_at,updated_by
WST-SC-2024-Q1-001,SITE-SC01,에스코어 판교,2024,1,일반폐기물,종이류,,8.5,8.1,0.4,0,95.3,N,위탁처리,그린환경 주식회사,1275000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-SC-2024-Q1-002,SITE-SC01,에스코어 판교,2024,1,일반폐기물,플라스틱,,4.2,3.5,0.7,0,83.3,N,위탁처리,그린환경 주식회사,630000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-SC-2024-Q1-003,SITE-SC01,에스코어 판교,2024,1,일반폐기물,음식물,,12.5,0,0,12.5,0,N,위탁처리,그린환경 주식회사,1875000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-SC-2024-Q1-004,SITE-SC01,에스코어 판교,2024,1,전자폐기물,IT장비,,2.8,2.8,0,0,100,Y,위탁처리,전문처리업체,420000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-SC-2024-Q1-005,SITE-SC01,에스코어 판교,2024,1,전자폐기물,서버부품,,1.5,1.5,0,0,100,Y,위탁처리,전문처리업체,225000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-SC-2024-Q2-001,SITE-SC01,에스코어 판교,2024,2,일반폐기물,종이류,,8.5,8.1,0.4,0,95.3,N,위탁처리,그린환경 주식회사,1275000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-SC-2024-Q2-002,SITE-SC01,에스코어 판교,2024,2,일반폐기물,플라스틱,,4.2,3.5,0.7,0,83.3,N,위탁처리,그린환경 주식회사,630000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-SC-2024-Q2-003,SITE-SC01,에스코어 판교,2024,2,일반폐기물,음식물,,12.5,0,0,12.5,0,N,위탁처리,그린환경 주식회사,1875000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-SC-2024-Q2-004,SITE-SC01,에스코어 판교,2024,2,전자폐기물,IT장비,,2.8,2.8,0,0,100,Y,위탁처리,전문처리업체,420000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-SC-2024-Q2-005,SITE-SC01,에스코어 판교,2024,2,전자폐기물,서버부품,,1.5,1.5,0,0,100,Y,위탁처리,전문처리업체,225000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-SC-2024-Q3-001,SITE-SC01,에스코어 판교,2024,3,일반폐기물,종이류,,8.5,8.1,0.4,0,95.3,N,위탁처리,그린환경 주식회사,1275000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-SC-2024-Q3-002,SITE-SC01,에스코어 판교,2024,3,일반폐기물,플라스틱,,4.2,3.5,0.7,0,83.3,N,위탁처리,그린환경 주식회사,630000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-SC-2024-Q3-003,SITE-SC01,에스코어 판교,2024,3,일반폐기물,음식물,,12.5,0,0,12.5,0,N,위탁처리,그린환경 주식회사,1875000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-SC-2024-Q3-004,SITE-SC01,에스코어 판교,2024,3,전자폐기물,IT장비,,2.8,2.8,0,0,100,Y,위탁처리,전문처리업체,420000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-SC-2024-Q3-005,SITE-SC01,에스코어 판교,2024,3,전자폐기물,서버부품,,1.5,1.5,0,0,100,Y,위탁처리,전문처리업체,225000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-SC-2024-Q4-001,SITE-SC01,에스코어 판교,2024,4,일반폐기물,종이류,,8.5,8.1,0.4,0,95.3,N,위탁처리,그린환경 주식회사,1275000,M1,EMS,2024-12-20 08:00:00,2024-12-20 09:00:00,2024-12-25 10:00:00,user_001
WST-SC-2024-Q4-002,SITE-SC01,에스코어 판교,2024,4,일반폐기물,플라스틱,,4.2,3.5,0.7,0,83.3,N,위탁처리,그린환경 주식회사,630000,M1,EMS,2024-12-20 08:00:00,2024-12-20 09:00:00,2024-12-25 10:00:00,user_001
