record_id,site_code,site_name,year,month,water_source,intake_m3,discharge_m3,recycled_m3,unit_cost_krw,total_cost_krw,data_quality,source_system,synced_at,created_at,updated_at,updated_by
WTR-SC-2024-0001,SITE-SC01,에스코어 판교,2024,1,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_001
WTR-SC-2024-0002,SITE-SC01,에스코어 판교,2024,2,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_001
WTR-SC-2024-0003,SITE-SC01,에스코어 판교,2024,3,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WTR-SC-2024-0004,SITE-SC01,에스코어 판교,2024,4,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_001
WTR-SC-2024-0005,SITE-SC01,에스코어 판교,2024,5,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_001
WTR-SC-2024-0006,SITE-SC01,에스코어 판교,2024,6,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WTR-SC-2024-0007,SITE-SC01,에스코어 판교,2024,7,상수도,713.0,677.35,0,850,606050,M1,EMS,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_001
WTR-SC-2024-0008,SITE-SC01,에스코어 판교,2024,8,상수도,713.0,677.35,0,850,606050,M1,EMS,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_001
WTR-SC-2024-0009,SITE-SC01,에스코어 판교,2024,9,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WTR-SC-2024-0010,SITE-SC01,에스코어 판교,2024,10,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_001
WTR-SC-2024-0011,SITE-SC01,에스코어 판교,2024,11,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_001
WTR-SC-2024-0012,SITE-SC01,에스코어 판교,2024,12,상수도,620.0,589.0,0,850,527000,M1,EMS,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
