record_id,site_code,site_name,year,month,total_headcount,permanent,contract,male,female,new_hire,resignation,turnover_rate_pct,data_quality,source_system,synced_at,created_at,updated_at,updated_by
HC-SC-2024-0001,SITE-SC01,에스코어 판교,2024,1,850,765,85,527,323,8,1,0.12,M1,HR,2024-01-05 08:00:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_001
HC-SC-2024-0002,SITE-SC01,에스코어 판교,2024,2,850,765,85,527,323,2,1,0.12,M1,HR,2024-02-05 08:00:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_001
HC-SC-2024-0003,SITE-SC01,에스코어 판교,2024,3,852,766,85,528,324,2,1,0.12,M1,HR,2024-03-05 08:00:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
HC-SC-2024-0004,SITE-SC01,에스코어 판교,2024,4,852,766,85,528,324,8,1,0.12,M1,HR,2024-04-05 08:00:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_001
HC-SC-2024-0005,SITE-SC01,에스코어 판교,2024,5,852,766,85,528,324,2,1,0.12,M1,HR,2024-05-05 08:00:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_001
HC-SC-2024-0006,SITE-SC01,에스코어 판교,2024,6,854,768,85,529,325,2,4,0.47,M1,HR,2024-06-05 08:00:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
HC-SC-2024-0007,SITE-SC01,에스코어 판교,2024,7,854,768,85,529,325,8,1,0.12,M1,HR,2024-07-05 08:00:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_001
HC-SC-2024-0008,SITE-SC01,에스코어 판교,2024,8,854,768,85,529,325,2,1,0.12,M1,HR,2024-08-05 08:00:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_001
HC-SC-2024-0009,SITE-SC01,에스코어 판교,2024,9,856,770,85,530,326,2,1,0.12,M1,HR,2024-09-05 08:00:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
HC-SC-2024-0010,SITE-SC01,에스코어 판교,2024,10,856,770,85,530,326,8,1,0.12,M1,HR,2024-10-05 08:00:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_001
HC-SC-2024-0011,SITE-SC01,에스코어 판교,2024,11,856,770,85,530,326,2,1,0.12,M1,HR,2024-11-05 08:00:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_001
HC-SC-2024-0012,SITE-SC01,에스코어 판교,2024,12,858,772,85,531,327,2,4,0.47,M1,HR,2024-12-05 08:00:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
