record_id,site_code,site_name,year,quarter,waste_type,waste_category,waste_subcategory,generation_ton,recycling_ton,landfill_ton,incineration_ton,recycling_rate_pct,hazardous_waste_yn,treatment_method,treatment_contractor,treatment_cost_krw,data_quality,source_system,synced_at,created_at,updated_at,updated_by
WST-ML-2024-Q1-001,SITE-ML01,엠로 본사,2024,1,일반폐기물,종이류,,1.8,1.7,0.1,0,94.4,N,위탁처리,그린환경 주식회사,270000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-ML-2024-Q1-002,SITE-ML01,엠로 본사,2024,1,일반폐기물,플라스틱,,0.9,0.7,0.2,0,77.8,N,위탁처리,그린환경 주식회사,135000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-ML-2024-Q1-003,SITE-ML01,엠로 본사,2024,1,일반폐기물,음식물,,3.2,0,0,3.2,0,N,위탁처리,그린환경 주식회사,480000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-ML-2024-Q1-004,SITE-ML01,엠로 본사,2024,1,전자폐기물,IT장비,,0.5,0.5,0,0,100,Y,위탁처리,전문처리업체,75000,M1,EMS,2024-03-20 08:00:00,2024-03-20 09:00:00,2024-03-25 10:00:00,user_001
WST-ML-2024-Q2-001,SITE-ML01,엠로 본사,2024,2,일반폐기물,종이류,,1.8,1.7,0.1,0,94.4,N,위탁처리,그린환경 주식회사,270000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-ML-2024-Q2-002,SITE-ML01,엠로 본사,2024,2,일반폐기물,플라스틱,,0.9,0.7,0.2,0,77.8,N,위탁처리,그린환경 주식회사,135000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-ML-2024-Q2-003,SITE-ML01,엠로 본사,2024,2,일반폐기물,음식물,,3.2,0,0,3.2,0,N,위탁처리,그린환경 주식회사,480000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-ML-2024-Q2-004,SITE-ML01,엠로 본사,2024,2,전자폐기물,IT장비,,0.5,0.5,0,0,100,Y,위탁처리,전문처리업체,75000,M1,EMS,2024-06-20 08:00:00,2024-06-20 09:00:00,2024-06-25 10:00:00,user_001
WST-ML-2024-Q3-001,SITE-ML01,엠로 본사,2024,3,일반폐기물,종이류,,1.8,1.7,0.1,0,94.4,N,위탁처리,그린환경 주식회사,270000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-ML-2024-Q3-002,SITE-ML01,엠로 본사,2024,3,일반폐기물,플라스틱,,0.9,0.7,0.2,0,77.8,N,위탁처리,그린환경 주식회사,135000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-ML-2024-Q3-003,SITE-ML01,엠로 본사,2024,3,일반폐기물,음식물,,3.2,0,0,3.2,0,N,위탁처리,그린환경 주식회사,480000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-ML-2024-Q3-004,SITE-ML01,엠로 본사,2024,3,전자폐기물,IT장비,,0.5,0.5,0,0,100,Y,위탁처리,전문처리업체,75000,M1,EMS,2024-09-20 08:00:00,2024-09-20 09:00:00,2024-09-25 10:00:00,user_001
WST-ML-2024-Q4-001,SITE-ML01,엠로 본사,2024,4,일반폐기물,종이류,,1.8,1.7,0.1,0,94.4,N,위탁처리,그린환경 주식회사,270000,M1,EMS,2024-12-20 08:00:00,2024-12-20 09:00:00,2024-12-25 10:00:00,user_001
WST-ML-2024-Q4-002,SITE-ML01,엠로 본사,2024,4,일반폐기물,플라스틱,,0.9,0.7,0.2,0,77.8,N,위탁처리,그린환경 주식회사,135000,M1,EMS,2024-12-20 08:00:00,2024-12-20 09:00:00,2024-12-25 10:00:00,user_001
WST-ML-2024-Q4-003,SITE-ML01,엠로 본사,2024,4,일반폐기물,음식물,,3.2,0,0,3.2,0,N,위탁처리,그린환경 주식회사,480000,M1,EMS,2024-12-20 08:00:00,2024-12-20 09:00:00,2024-12-25 10:00:00,user_001
WST-ML-2024-Q4-004,SITE-ML01,엠로 본사,2024,4,전자폐기물,IT장비,,0.5,0.5,0,0,100,Y,위탁처리,전문처리업체,75000,M1,EMS,2024-12-20 08:00:00,2024-12-20 09:00:00,2024-12-25 10:00:00,user_001
