record_id,site_code,site_name,site_type,year,month,energy_type,energy_source,usage_amount,usage_unit,renewable_kwh,renewable_ratio,pue_monthly,it_load_kw,cooling_power_kwh,cost_krw,meter_id,data_quality,source_system,synced_at,created_at,updated_at,updated_by,non_renewable_kwh,grid_emission_factor_market,grid_emission_factor_location,energy_supplier_id,rec_purchased_kwh,ppa_kwh,ghg_market_tco2e,ghg_location_tco2e,consumption_kwh,facility,ghg_raw_category
EMS-OH-2024-0001,SITE-OH01,오픈핸즈 본사,오피스,2024,1,전력,한국전력(KEPCO),68000.0,kWh,0,0.0,,,,7480000,MTR-SITE-OH01-EL-01,M1,EMS,2024-01-05 07:30:00,2024-01-05 09:00:00,2024-01-10 10:00:00,user_001,68000.0,0.4596,0.4596,SUP-EN-001,0,0,31.2528,31.2528,68000.0,오픈핸즈 본사,energy
EMS-OH-2024-0002,SITE-OH01,오픈핸즈 본사,오피스,2024,2,전력,한국전력(KEPCO),68000.0,kWh,0,0.0,,,,7480000,MTR-SITE-OH01-EL-02,M1,EMS,2024-02-05 07:30:00,2024-02-05 09:00:00,2024-02-10 10:00:00,user_001,68000.0,0.4596,0.4596,SUP-EN-001,0,0,31.2528,31.2528,68000.0,오픈핸즈 본사,energy
EMS-OH-2024-0003,SITE-OH01,오픈핸즈 본사,오피스,2024,3,전력,한국전력(KEPCO),64600.0,kWh,0,0.0,,,,7106000,MTR-SITE-OH01-EL-03,M1,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001,64600.0,0.4596,0.4596,SUP-EN-001,0,0,29.6902,29.6902,64600.0,오픈핸즈 본사,energy
EMS-OH-2024-0004,SITE-OH01,오픈핸즈 본사,오피스,2024,4,전력,한국전력(KEPCO),64600.0,kWh,0,0.0,,,,7106000,MTR-SITE-OH01-EL-04,M1,EMS,2024-04-05 07:30:00,2024-04-05 09:00:00,2024-04-10 10:00:00,user_001,64600.0,0.4596,0.4596,SUP-EN-001,0,0,29.6902,29.6902,64600.0,오픈핸즈 본사,energy
EMS-OH-2024-0005,SITE-OH01,오픈핸즈 본사,오피스,2024,5,전력,한국전력(KEPCO),68000.0,kWh,0,0.0,,,,7480000,MTR-SITE-OH01-EL-05,M1,EMS,2024-05-05 07:30:00,2024-05-05 09:00:00,2024-05-10 10:00:00,user_001,68000.0,0.4596,0.4596,SUP-EN-001,0,0,31.2528,31.2528,68000.0,오픈핸즈 본사,energy
EMS-OH-2024-0006,SITE-OH01,오픈핸즈 본사,오피스,2024,6,전력,한국전력(KEPCO),68000.0,kWh,0,0.0,,,,7480000,MTR-SITE-OH01-EL-06,M1,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001,68000.0,0.4596,0.4596,SUP-EN-001,0,0,31.2528,31.2528,68000.0,오픈핸즈 본사,energy
EMS-OH-2024-0007,SITE-OH01,오픈핸즈 본사,오피스,2024,7,전력,한국전력(KEPCO),78200.0,kWh,0,0.0,,,,8602000,MTR-SITE-OH01-EL-07,M1,EMS,2024-07-05 07:30:00,2024-07-05 09:00:00,2024-07-10 10:00:00,user_001,78200.0,0.4596,0.4596,SUP-EN-001,0,0,35.9407,35.9407,78200.0,오픈핸즈 본사,energy
EMS-OH-2024-0008,SITE-OH01,오픈핸즈 본사,오피스,2024,8,전력,한국전력(KEPCO),78200.0,kWh,0,0.0,,,,8602000,MTR-SITE-OH01-EL-08,M1,EMS,2024-08-05 07:30:00,2024-08-05 09:00:00,2024-08-10 10:00:00,user_001,78200.0,0.4596,0.4596,SUP-EN-001,0,0,35.9407,35.9407,78200.0,오픈핸즈 본사,energy
EMS-OH-2024-0009,SITE-OH01,오픈핸즈 본사,오피스,2024,9,전력,한국전력(KEPCO),68000.0,kWh,0,0.0,,,,7480000,MTR-SITE-OH01-EL-09,M1,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001,68000.0,0.4596,0.4596,SUP-EN-001,0,0,31.2528,31.2528,68000.0,오픈핸즈 본사,energy
EMS-OH-2024-0010,SITE-OH01,오픈핸즈 본사,오피스,2024,10,전력,한국전력(KEPCO),64600.0,kWh,0,0.0,,,,7106000,MTR-SITE-OH01-EL-10,M1,EMS,2024-10-05 07:30:00,2024-10-05 09:00:00,2024-10-10 10:00:00,user_001,64600.0,0.4596,0.4596,SUP-EN-001,0,0,29.6902,29.6902,64600.0,오픈핸즈 본사,energy
EMS-OH-2024-0011,SITE-OH01,오픈핸즈 본사,오피스,2024,11,전력,한국전력(KEPCO),64600.0,kWh,0,0.0,,,,7106000,MTR-SITE-OH01-EL-11,M1,EMS,2024-11-05 07:30:00,2024-11-05 09:00:00,2024-11-10 10:00:00,user_001,64600.0,0.4596,0.4596,SUP-EN-001,0,0,29.6902,29.6902,64600.0,오픈핸즈 본사,energy
EMS-OH-2024-0012,SITE-OH01,오픈핸즈 본사,오피스,2024,12,전력,한국전력(KEPCO),68000.0,kWh,0,0.0,,,,7480000,MTR-SITE-OH01-EL-12,M1,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001,68000.0,0.4596,0.4596,SUP-EN-001,0,0,31.2528,31.2528,68000.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-01,SITE-OH01,오픈핸즈 본사,오피스,2024,1,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-01,M1,EMS,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-01,SITE-OH01,오픈핸즈 본사,오피스,2024,1,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-01,M1,EMS,2024-01-05 08:00:00,2024-01-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-02,SITE-OH01,오픈핸즈 본사,오피스,2024,2,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-02,M1,EMS,2024-02-05 08:00:00,2024-02-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-02,SITE-OH01,오픈핸즈 본사,오피스,2024,2,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-02,M1,EMS,2024-02-05 08:00:00,2024-02-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-03,SITE-OH01,오픈핸즈 본사,오피스,2024,3,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-03,M1,EMS,2024-03-05 08:00:00,2024-03-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-DSL-03,SITE-OH01,오픈핸즈 본사,오피스,2024,3,경유(차량),법인차량,380.0,L,0,0.0,,,,0,MTR-SITE-OH01-DSL-03,M1,EMS,2024-03-05 08:00:00,2024-03-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-FUEL-001,0,0,0,0,0.0,오픈핸즈 본사,energy
EMS-OH-2024-GAS-04,SITE-OH01,오픈핸즈 본사,오피스,2024,4,도시가스,지역도시가스,2100.0,Nm³,0,0.0,,,,0,MTR-SITE-OH01-GAS-04,M1,EMS,2024-04-05 08:00:00,2024-04-05 08:00:00,2024-03-10 10:00:00,user_001,0.0,,,SUP-GAS-001,0,0,0,0,0.0,오픈핸즈 본사,energy
