record_id,site_code,site_name,year,quarter,waste_type,waste_category,waste_subcategory,generation_ton,recycling_ton,landfill_ton,incineration_ton,recycling_rate_pct,hazardous_waste_yn,treatment_method,treatment_contractor,treatment_cost_krw,data_quality,source_system,synced_at,created_at,updated_at,updated_by
WASTE-OH-2024-Q1-001,SITE-OH01,오픈핸즈 본사,2024,1,일반폐기물,생활폐기물,종이류,0.8,0.75,0.05,0,93.75,N,재활용,서울환경,400000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-OH-2024-Q1-002,SITE-OH01,오픈핸즈 본사,2024,1,일반폐기물,생활폐기물,플라스틱,0.5,0.4,0.1,0,80.0,N,재활용,서울환경,250000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-OH-2024-Q1-003,SITE-OH01,오픈핸즈 본사,2024,1,일반폐기물,생활폐기물,음식물,0.4,0.35,0,0.05,87.5,N,재활용,서울환경,200000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-OH-2024-Q1-004,SITE-OH01,오픈핸즈 본사,2024,1,지정폐기물,전자폐기물,IT장비,0.3,0.28,0,0.02,93.3,Y,재활용,삼성환경,150000,M2,EMS,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_001
WASTE-OH-2024-Q2-001,SITE-OH01,오픈핸즈 본사,2024,2,일반폐기물,생활폐기물,종이류,0.8,0.75,0.05,0,93.75,N,재활용,서울환경,400000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-OH-2024-Q2-002,SITE-OH01,오픈핸즈 본사,2024,2,일반폐기물,생활폐기물,플라스틱,0.5,0.4,0.1,0,80.0,N,재활용,서울환경,250000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-OH-2024-Q2-003,SITE-OH01,오픈핸즈 본사,2024,2,일반폐기물,생활폐기물,음식물,0.4,0.35,0,0.05,87.5,N,재활용,서울환경,200000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-OH-2024-Q2-004,SITE-OH01,오픈핸즈 본사,2024,2,지정폐기물,전자폐기물,IT장비,0.3,0.28,0,0.02,93.3,Y,재활용,삼성환경,150000,M2,EMS,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_001
WASTE-OH-2024-Q3-001,SITE-OH01,오픈핸즈 본사,2024,3,일반폐기물,생활폐기물,종이류,0.8,0.75,0.05,0,93.75,N,재활용,서울환경,400000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-OH-2024-Q3-002,SITE-OH01,오픈핸즈 본사,2024,3,일반폐기물,생활폐기물,플라스틱,0.5,0.4,0.1,0,80.0,N,재활용,서울환경,250000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-OH-2024-Q3-003,SITE-OH01,오픈핸즈 본사,2024,3,일반폐기물,생활폐기물,음식물,0.4,0.35,0,0.05,87.5,N,재활용,서울환경,200000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-OH-2024-Q3-004,SITE-OH01,오픈핸즈 본사,2024,3,지정폐기물,전자폐기물,IT장비,0.3,0.28,0,0.02,93.3,Y,재활용,삼성환경,150000,M2,EMS,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_001
WASTE-OH-2024-Q4-001,SITE-OH01,오픈핸즈 본사,2024,4,일반폐기물,생활폐기물,종이류,0.8,0.75,0.05,0,93.75,N,재활용,서울환경,400000,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-OH-2024-Q4-002,SITE-OH01,오픈핸즈 본사,2024,4,일반폐기물,생활폐기물,플라스틱,0.5,0.4,0.1,0,80.0,N,재활용,서울환경,250000,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-OH-2024-Q4-003,SITE-OH01,오픈핸즈 본사,2024,4,일반폐기물,생활폐기물,음식물,0.4,0.35,0,0.05,87.5,N,재활용,서울환경,200000,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
WASTE-OH-2024-Q4-004,SITE-OH01,오픈핸즈 본사,2024,4,지정폐기물,전자폐기물,IT장비,0.3,0.28,0,0.02,93.3,Y,재활용,삼성환경,150000,M2,EMS,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_001
