record_id,year,quarter,training_category,training_name,participant_count,completion_count,completion_rate_pct,training_hours_per_person,total_training_hours,training_cost_krw,mandatory_yn,online_offline,training_provider,data_quality,source_system,synced_at,created_at,updated_at,updated_by
TR-OH-2024-Q1-001,2024,1,기술교육,모바일 앱 개발,45,43,95.6,16,720,36000000,N,온라인,멀티캠퍼스,M1,HR,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_hr
TR-OH-2024-Q1-002,2024,1,직무교육,UI/UX 디자인,30,28,93.3,12,360,18000000,N,오프라인,외부강사,M1,HR,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_hr
TR-OH-2024-Q1-003,2024,1,법정교육,정보보호,85,85,100.0,4,340,17000000,Y,온라인,내부,M1,HR,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_hr
TR-OH-2024-Q1-004,2024,1,법정교육,성희롱예방,85,85,100.0,1,85,4250000,Y,온라인,내부,M1,HR,2024-03-05 07:30:00,2024-03-05 09:00:00,2024-03-10 10:00:00,user_hr
TR-OH-2024-Q2-001,2024,2,기술교육,모바일 앱 개발,45,43,95.6,16,720,36000000,N,온라인,멀티캠퍼스,M1,HR,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_hr
TR-OH-2024-Q2-002,2024,2,직무교육,UI/UX 디자인,30,28,93.3,12,360,18000000,N,오프라인,외부강사,M1,HR,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_hr
TR-OH-2024-Q2-003,2024,2,법정교육,정보보호,85,85,100.0,4,340,17000000,Y,온라인,내부,M1,HR,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_hr
TR-OH-2024-Q2-004,2024,2,법정교육,성희롱예방,85,85,100.0,1,85,4250000,Y,온라인,내부,M1,HR,2024-06-05 07:30:00,2024-06-05 09:00:00,2024-06-10 10:00:00,user_hr
TR-OH-2024-Q3-001,2024,3,기술교육,모바일 앱 개발,45,43,95.6,16,720,36000000,N,온라인,멀티캠퍼스,M1,HR,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_hr
TR-OH-2024-Q3-002,2024,3,직무교육,UI/UX 디자인,30,28,93.3,12,360,18000000,N,오프라인,외부강사,M1,HR,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_hr
TR-OH-2024-Q3-003,2024,3,법정교육,정보보호,85,85,100.0,4,340,17000000,Y,온라인,내부,M1,HR,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_hr
TR-OH-2024-Q3-004,2024,3,법정교육,성희롱예방,85,85,100.0,1,85,4250000,Y,온라인,내부,M1,HR,2024-09-05 07:30:00,2024-09-05 09:00:00,2024-09-10 10:00:00,user_hr
TR-OH-2024-Q4-001,2024,4,기술교육,모바일 앱 개발,45,43,95.6,16,720,36000000,N,온라인,멀티캠퍼스,M1,HR,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_hr
TR-OH-2024-Q4-002,2024,4,직무교육,UI/UX 디자인,30,28,93.3,12,360,18000000,N,오프라인,외부강사,M1,HR,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_hr
TR-OH-2024-Q4-003,2024,4,법정교육,정보보호,85,85,100.0,4,340,17000000,Y,온라인,내부,M1,HR,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_hr
TR-OH-2024-Q4-004,2024,4,법정교육,성희롱예방,85,85,100.0,1,85,4250000,Y,온라인,내부,M1,HR,2024-12-05 07:30:00,2024-12-05 09:00:00,2024-12-10 10:00:00,user_hr
